man	mężczyzna
doctor, physician	lekarz
lekarz	doctor, physician
personnel, staff	personel
personel	personnel, staff
model	modelka
modelka	model
artist	artysta
artysta	artist
lawyer	prawnik
prawnik	lawyer
police	policja
policja	police
policeman	policjant
policjant	policeman
student, pupil	uczeń
uczeń	student, pupil
director, principal	dyrektor
dyrektor	director, principal
worker	robotnik
robotnik	worker
director	dyrektorka
dyrektorka	director
policewoman	policjantka
policjantka	policewoman
secretary	sekretarka
sekretarka	secretary
boss	szef
szef	boss
captain	kapitan
kapitan	captain
soldier	żołnierz
żołnierz	soldier
writer	pisarz
pisarz	writer
employee	pracownik
pracownik	employee
actor	aktor
aktor	actor
actress	aktorka
aktorka	actress
security guard	ochroniarz
ochroniarz	security guard
judge	sędzia
sędzia	judge
farmer	rolnik
rolnik	farmer
waiter	kelner
kelner	waiter
profession, occupation	zawód
zawód	profession, occupation
engineer	inżynier
inżynier	engineer
architect	architekt
architekt	architect
cook, chef	kucharz
kucharz	cook, chef
gentleman, man	pan
pan	gentleman, man
lady, woman	pani
pani	lady, woman
girlfriend, girl	dziewczyna
dziewczyna	girlfriend, girl
boyfriend, boy	chłopak
chłopak	boyfriend, boy
friend	przyjaciółka
przyjaciółka	friend
group	grupa
grupa	group
acquaintance	znajomy
znajomy	acquaintance
enemy	wróg
wróg	enemy
colleague	kolega
kolega	colleague
village, countryside	wieś
wieś	village, countryside
nation	naród
naród	nation
culture	kultura
kultura	culture
relationship, union	związek
związek	relationship, union
person	osoba
osoba	person
society	społeczeństwo
społeczeństwo	society
victim	ofiara
ofiara	victim
partner	partner
partner	partner
youth	młodzież
młodzież	youth
conference	konferencja
konferencja	conference
guest	gość
gość	guest
foundation	fundacja
fundacja	foundation
couple, pair	para
para	couple, pair
neighbor/neighbour	sąsiad
sąsiad	neighbor/neighbour
citizen	obywatel
obywatel	citizen
name	imię
imię	name
Adam	Adam
Adam	Adam
last name, surname	nazwisko
nazwisko	last name, surname
Julia	Julia
Julia	Julia
Jack	Jacek
Jacek	Jack
Martha	Marta
Marta	Martha
sypialnia	bedroom
bedroom	sypialnia
łazienka (k/c) (-/e)	bathroom
bathroom	łazienka (k/c) (-/e)
kuchnia	kitchen
kitchen	kuchnia
ogród (d/dź) (ó/o)	garden
garden	ogród (d/dź) (ó/o)
hotel	hotel
hotel	hotel
korytarz	corridor
corridor	korytarz
mieszkanie	apartment, flat
apartment, flat	mieszkanie
plaża	beach
beach	plaża
kościół (ł/l) (ó/o/e)	church
church	kościół (ł/l) (ó/o/e)
miasto (st/ść) (a/e)	city, town
city, town	miasto (st/ść) (a/e)
restauracja	restaurant
restaurant	restauracja
lotnisko	airport
airport	lotnisko
ulica	street
street	ulica
kraj	country, land
country, land	kraj
bank	bank
bank	bank
bar (r/rz)	bar
bar	bar (r/rz)
szpital	hospital
hospital	szpital
biuro (r/rz)	office
office	biuro (r/rz)
zamek (e/-)	castle
castle	zamek (e/-)
sklep	store, shop
store, shop	sklep
centrum	center/centre
center/centre	centrum
stacja	station
station	stacja
budynek (e/-)	building
building	budynek (e/-)
park	park
park	park
muzeum	museum
museum	muzeum
ławka (k/c) (-/e)	bench
bench	ławka (k/c) (-/e)
miejsce	place, site
place, site	miejsce
okolica	neighborhood/neighbourhood
neighborhood/neighbourhood	okolica
region (n/ń)	region
region	region (n/ń)
adres (s/ś)	address
address	adres (s/ś)
róg (ó/o)	corner
corner	róg (ó/o)
kino (n/ń)	cinema
cinema	kino (n/ń)
aleja (j/-)	alley, avenue
alley, avenue	aleja (j/-)
droga (g/dz) (o/ó)	road, way, path
road, way, path	droga (g/dz) (o/ó)
wieża	tower
tower	wieża
granica	border, frontier
border, frontier	granica
przód (d/dź) (ó/o/e)	front
front	przód (d/dź) (ó/o/e)
dzielnica	district
district	dzielnica
tył (ł/l)	back
back	tył (ł/l)
rynek (e/-)	marketplace, square
marketplace, square	rynek (e/-)
więzienie	jail, prison
jail, prison	więzienie
pałac	palace
palace	pałac
port (t/ć)	port
port	port (t/ć)
farma	farm
farm	farma
stolica	capital (city)
capital (city)	stolica
zoo	zoo
zoo	zoo
obszar (r/rz)	area
area	obszar (r/rz)
strona (n/ń)	side, page
side, page	strona (n/ń)
wschód (d/dź) (ó/o)	east
east	wschód (d/dź) (ó/o)
zachód (d/dź) (ó/o)	west
west	zachód (d/dź) (ó/o)
północ	midnight, north
midnight, north	północ
góra (r/rz)	top; mountain
top; mountain	góra (r/rz)
dół (ł/l) (ó/o)	bottom
bottom	dół (ł/l) (ó/o)
koleżanka (k/c) (-/e)	colleague
colleague	koleżanka (k/c) (-/e)
suma	sum
sum	suma
liczba	number
number	liczba
numer (r/rz)	number
number	numer (r/rz)
raz (z/ź)	time, case
time, case	raz (z/ź)
większość	majority
majority	większość
mniejszość	minority
minority	mniejszość
filiżanka (k/c) (-/e)	(tea)cup
(tea)cup	filiżanka (k/c) (-/e)
samochód (d/dź) (ó/o)	car
car	samochód (d/dź) (ó/o)
pociąg	train
train	pociąg
autobus (s/ś)	bus
bus	autobus (s/ś)
motor (r/rz)	motorcycle
motorcycle	motor (r/rz)
samolot (t/ć)	airplane
airplane	samolot (t/ć)
statek (e/-)	ship
ship	statek (e/-)
rower (r/rz)	bicycle
bicycle	rower (r/rz)
bilet (t/ć)	ticket
ticket	bilet (t/ć)
pojazd (zd/źdź) (a/e)	vehicle
vehicle	pojazd (zd/źdź) (a/e)
transport (t/ć)	transport
transport	transport (t/ć)
kierowca	driver
driver	kierowca
pasażer (r/rz)	passenger
